state,year,month,temp_mean,rh_mean,rain_mm,rain_days,monsoon
Johor,2011,9,26.36250911743253,87.7600291757841,47306.79,0,SW
Johor,2011,10,26.343926553672315,89.15112994350282,29406.04,0,Inter
Johor,2011,11,26.54424778761062,88.29572271386431,36642.9,0,NE
Johor,2011,12,26.085416666666667,88.33541666666666,30716.2,0,NE
Johor,2012,1,26.285017421602788,85.25923344947735,23487.239999999998,0,NE
Johor,2012,2,26.66376811594203,85.11739130434782,14026.970000000001,0,NE
Johor,2012,3,26.21698113207547,89.375,30377.85,0,NE
Johor,2012,4,26.788775510204083,88.11122448979592,33710.815,0,Inter
Johor,2012,5,26.694444444444443,88.5491452991453,42021.03,0,SW
Johor,2012,6,27.303797468354432,86.4704641350211,46800.395000000004,0,SW
Johor,2012,7,26.378600823045268,88.81207133058984,36780.14,0,SW
Johor,2012,8,26.321107266435988,88.26574394463668,49668.3,0,SW
Johor,2012,9,26.753705010585744,87.37614678899082,47306.79,0,SW
Johor,2012,10,26.84236111111111,86.69930555555555,29406.04,0,Inter
Johor,2012,11,26.491252624212738,88.73897830650805,36642.9,0,NE
Johor,2012,12,26.06245710363761,89.6945778997941,30716.2,0,NE
Johor,2013,1,26.669398907103822,84.6775956284153,23487.239999999998,0,NE
Johor,2013,2,26.32701062215478,88.06297420333838,14026.970000000001,0,NE
Johor,2013,3,27.758152173913043,83.65625,30377.85,0,NE
Johor,2013,4,27.42686357243319,87.94092827004219,33710.815,0,Inter
Johor,2013,5,27.12287847929396,89.23761031907671,42021.03,0,SW
Johor,2013,6,28.169562195969423,82.25017373175817,46800.395000000004,0,SW
Johor,2013,7,27.03564223268325,87.635507733692,36780.14,0,SW
Johor,2013,8,26.809683927370543,87.43779421654338,49668.3,0,SW
Johor,2013,9,26.62334954829743,87.87491313412092,47306.79,0,SW
Johor,2013,10,26.951547779273216,86.41049798115748,29406.04,0,Inter
Johor,2013,11,27.05208333333333,86.96319444444444,36642.9,0,NE
Johor,2013,12,26.301075268817204,87.70094086021506,30716.2,0,NE
Johor,2014,1,25.93405114401077,81.3728129205922,23487.239999999998,0,NE
Johor,2014,2,26.76080476900149,78.274217585693,14026.970000000001,0,NE
Johor,2014,3,27.2948717948718,81.39203778677462,30377.85,0,NE
Johor,2014,4,27.447916666666668,86.82152777777777,33710.815,0,Inter
Johor,2014,5,27.799185888738126,86.97829036635007,42021.03,0,SW
Johor,2014,6,28.23333333333333,85.14375,46800.395000000004,0,SW
Johor,2014,7,27.63703703703704,86.73198653198654,36780.14,0,SW
Johor,2014,8,26.579056865464636,87.874479889043,49668.3,0,SW
Johor,2014,9,27.297316384180792,84.26694915254237,47306.79,0,SW
Johor,2014,10,27.450608930987823,84.53179972936401,29406.04,0,Inter
Johor,2014,11,26.92737430167598,86.70949720670392,36642.9,0,NE
